html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,symptom category,author patch,input program,input property,refactoring type,root cause
https://bugs.eclipse.org/bugs/show_bug.cgi?id=108666,108666,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] Infer type argument gives strange result,2005/9/20,fail to refactoring,1,1,vector,Infer Type Arguments,overly weak preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=109071,109071,P3,JDT,UI,eclipsetalk2,VERI,FIXE,[refactoring] Inlining array with initializer gives illegal expression.,2005/9/20,compile error,1,1,static initializer,inline field,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=96949,96949,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Convert anonymous: generates unnecessary call to super(),2005/9/20,unnecessary change,0,1,anonymous class,convert anonymous to nested class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=102018,102018,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Assertion fails in ExtractTempRefactoring.,2005/9/2,exception,1,1,,extract local variable,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=104030,104030,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] extract interface:NPE in SuperTypeConstraintsModel,2005/9/2,exception,1,1,,extract interface,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=108115,108115,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] Extract Local Variable and Ex. Constant don't find matching invocations of generic methods,2005/9/2,fail to refactoring,1,1,java generics,extract local variable,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=105829,105829,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] infer type arguments: StackOverflowError,2005/9/2,crash,1,1,vector,Infer Type Arguments,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=102534,102534,P3,JDT,UI,dirk_baeumer,VERI,FIXE,[refactoring] Inline method: Null pointer exception,2005/8/9,exception,1,1,static initializer,inline method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=100846,100846,P2,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] Change method signature does not disallow changing implementations of binary methods,2005/6/22,behavior change,0,1,,change method signature,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=99392,99392,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Use Supertype Where Possible... leaves dialog open,2005/6/21,incorrect warning message,1,1,,Use supertype wherever possible,ast rewrite issue
